,Id,LotArea,YearBuilt,YearRemodAdd,LotFrontage,Utilities,OverallQual,OverallCond,ExterQual,ExterCond,MoSold,YrSold,MiscVal
0,1,8450,2003,2003,65.0,AllPub,7,5,Gd,TA,2,2008,0
1,2,9600,1976,1976,80.0,AllPub,6,8,TA,TA,5,2007,0
2,3,11250,2001,2002,68.0,AllPub,7,5,Gd,TA,9,2008,0
3,4,9550,1915,1970,60.0,AllPub,7,5,TA,TA,2,2006,0
4,5,14260,2000,2000,84.0,AllPub,8,5,Gd,TA,12,2008,0
5,6,14115,1993,1995,85.0,AllPub,5,5,TA,TA,10,2009,700
6,7,10084,2004,2005,75.0,AllPub,8,5,Gd,TA,8,2007,0
7,8,10382,1973,1973,,AllPub,7,6,TA,TA,11,2009,350
8,9,6120,1931,1950,51.0,AllPub,7,5,TA,TA,4,2008,0
9,10,7420,1939,1950,50.0,AllPub,5,6,TA,TA,1,2008,0
10,11,11200,1965,1965,70.0,AllPub,5,5,TA,TA,2,2008,0
11,12,11924,2005,2006,85.0,AllPub,9,5,Ex,TA,7,2006,0
12,13,12968,1962,1962,,AllPub,5,6,TA,TA,9,2008,0
13,14,10652,2006,2007,91.0,AllPub,7,5,Gd,TA,8,2007,0
14,15,10920,1960,1960,,AllPub,6,5,TA,TA,5,2008,0
15,16,6120,1929,2001,51.0,AllPub,7,8,TA,TA,7,2007,0
16,17,11241,1970,1970,,AllPub,6,7,TA,TA,3,2010,700
17,18,10791,1967,1967,72.0,AllPub,4,5,TA,TA,10,2006,500
18,19,13695,2004,2004,66.0,AllPub,5,5,TA,TA,6,2008,0
19,20,7560,1958,1965,70.0,AllPub,5,6,TA,TA,5,2009,0
20,21,14215,2005,2006,101.0,AllPub,8,5,Gd,TA,11,2006,0
21,22,7449,1930,1950,57.0,AllPub,7,7,TA,TA,6,2007,0
22,23,9742,2002,2002,75.0,AllPub,8,5,Gd,TA,9,2008,0
23,24,4224,1976,1976,44.0,AllPub,5,7,TA,TA,6,2007,0
24,25,8246,1968,2001,,AllPub,5,8,TA,Gd,5,2010,0
25,26,14230,2007,2007,110.0,AllPub,8,5,Gd,TA,7,2009,0
26,27,7200,1951,2000,60.0,AllPub,5,7,TA,TA,5,2010,0
27,28,11478,2007,2008,98.0,AllPub,8,5,Gd,TA,5,2010,0
28,29,16321,1957,1997,47.0,AllPub,5,6,TA,TA,12,2006,0
29,30,6324,1927,1950,60.0,AllPub,4,6,TA,TA,5,2008,0
30,31,8500,1920,1950,50.0,AllPub,4,4,TA,Fa,7,2008,0
31,32,8544,1966,2006,,AllPub,5,6,TA,TA,6,2008,0
32,33,11049,2007,2007,85.0,AllPub,8,5,Gd,TA,1,2008,0
33,34,10552,1959,1959,70.0,AllPub,5,5,TA,TA,4,2010,0
34,35,7313,2005,2005,60.0,AllPub,9,5,Ex,TA,8,2007,0
35,36,13418,2004,2005,108.0,AllPub,8,5,Gd,TA,9,2006,0
36,37,10859,1994,1995,112.0,AllPub,5,5,TA,TA,6,2009,0
37,38,8532,1954,1990,74.0,AllPub,5,6,TA,TA,10,2009,0
38,39,7922,1953,2007,68.0,AllPub,5,7,TA,Gd,1,2010,0
39,40,6040,1955,1955,65.0,AllPub,4,5,TA,TA,6,2008,0
40,41,8658,1965,1965,84.0,AllPub,6,5,TA,TA,12,2006,0
41,42,16905,1959,1959,115.0,AllPub,5,6,TA,Gd,7,2007,0
42,43,9180,1983,1983,,AllPub,5,7,TA,TA,12,2007,0
43,44,9200,1975,1980,,AllPub,5,6,TA,TA,7,2008,0
44,45,7945,1959,1959,70.0,AllPub,5,6,TA,TA,5,2006,0
45,46,7658,2005,2005,61.0,AllPub,9,5,Ex,TA,2,2010,0
46,47,12822,2003,2003,48.0,AllPub,7,5,Gd,TA,8,2009,0
47,48,11096,2006,2006,84.0,AllPub,8,5,Gd,TA,7,2007,0
48,49,4456,1920,2008,33.0,AllPub,4,5,TA,TA,6,2009,0
49,50,7742,1966,1966,66.0,AllPub,5,7,TA,TA,1,2007,0
50,51,13869,1997,1997,,AllPub,6,6,TA,TA,7,2007,0
51,52,6240,1934,1950,52.0,AllPub,6,6,TA,TA,9,2006,400
52,53,8472,1963,1963,110.0,AllPub,5,5,Fa,TA,5,2010,0
53,54,50271,1981,1987,68.0,AllPub,9,5,Gd,TA,11,2006,0
54,55,7134,1955,1955,60.0,AllPub,5,5,TA,TA,2,2007,0
55,56,10175,1964,1964,100.0,AllPub,6,5,TA,TA,7,2008,0
56,57,2645,1999,2000,24.0,AllPub,8,5,Gd,TA,8,2009,0
57,58,11645,2004,2004,89.0,AllPub,7,5,Gd,TA,8,2006,0
58,59,13682,2006,2006,66.0,AllPub,10,5,Ex,TA,10,2006,0
59,60,7200,1972,1972,60.0,AllPub,5,7,TA,TA,1,2008,0
60,61,13072,2004,2004,63.0,AllPub,6,5,TA,TA,5,2006,0
61,62,7200,1920,1996,60.0,AllPub,5,7,TA,TA,3,2007,0
62,63,6442,2006,2006,44.0,AllPub,8,5,Gd,TA,10,2007,0
63,64,10300,1921,1950,50.0,AllPub,7,6,TA,TA,4,2010,0
64,65,9375,1997,1998,,AllPub,7,5,TA,TA,2,2009,0
65,66,9591,2004,2005,76.0,AllPub,8,5,Gd,TA,10,2007,0
66,67,19900,1970,1989,,AllPub,7,5,TA,TA,7,2010,0
67,68,10665,2003,2003,72.0,AllPub,7,5,Gd,TA,6,2007,0
68,69,4608,1945,1950,47.0,AllPub,4,6,TA,Gd,6,2010,0
69,70,15593,1953,1953,81.0,AllPub,7,4,Gd,TA,7,2006,0
70,71,13651,1973,1973,95.0,AllPub,7,6,TA,Gd,2,2007,0
71,72,7599,1982,2006,69.0,AllPub,4,6,TA,TA,6,2007,0
72,73,10141,1998,1998,74.0,AllPub,7,5,TA,TA,12,2009,0
73,74,10200,1954,2003,85.0,AllPub,5,7,TA,TA,5,2010,0
74,75,5790,1915,1950,60.0,AllPub,3,6,Gd,Gd,5,2010,0
75,76,1596,1973,1973,21.0,AllPub,4,5,TA,TA,11,2009,0
76,77,8475,1956,1956,,AllPub,4,7,TA,TA,4,2008,0
77,78,8635,1948,2001,50.0,AllPub,5,5,TA,TA,1,2008,0
78,79,10778,1968,1968,72.0,AllPub,4,5,TA,TA,4,2010,0
79,80,10440,1910,1981,60.0,AllPub,5,6,TA,TA,5,2009,0
80,81,13000,1968,1968,100.0,AllPub,6,6,TA,Gd,6,2009,0
81,82,4500,1998,1998,32.0,AllPub,6,5,TA,Gd,3,2006,0
82,83,10206,2007,2007,78.0,AllPub,8,5,TA,TA,10,2008,0
83,84,8892,1960,1960,80.0,AllPub,5,5,TA,TA,7,2007,0
84,85,8530,1995,1996,,AllPub,7,5,TA,TA,5,2009,700
85,86,16059,1991,1992,121.0,AllPub,8,5,Gd,TA,4,2006,0
86,87,11911,2005,2005,122.0,AllPub,6,5,Gd,TA,3,2009,0
87,88,3951,2009,2009,40.0,AllPub,6,5,Gd,TA,6,2009,0
88,89,8470,1915,1982,105.0,AllPub,3,2,Fa,Fa,10,2009,0
89,90,8070,1994,1995,60.0,AllPub,4,5,TA,TA,8,2007,0
90,91,7200,1950,1950,60.0,AllPub,4,5,TA,TA,7,2006,0
