,house_type,house_size,location,price,numBalconies,numBathrooms,SecurityDeposit,Status,category,numBedrooms,ratio_per_room,PricePerSqft
0,2 BHK Apartment ,1180,Ulwe,19000,,2.0,No Deposit,Furnished,apartment,2,9500.0,16.10169491525424
1,2 BHK Apartment ,1120,Ulwe,12500,,2.0,No Deposit,Unfurnished,apartment,2,6250.0,11.160714285714286
2,2 BHK Apartment ,1200,Panvel,22000,,2.0,No Deposit,Unfurnished,apartment,2,11000.0,18.333333333333332
3,2 BHK Apartment ,750,Kandivali West,28500,,2.0,No Deposit,Unfurnished,apartment,2,14250.0,38.0
4,3 BHK Apartment ,1400,Chembur,50000,,3.0,No Deposit,Semi-Furnished,apartment,3,16666.666666666668,35.714285714285715
5,1 RK Studio Apartment ,450,Badlapur East,3000,,1.0,No Deposit,Unfurnished,studio,1,3000.0,6.666666666666667
6,1 BHK Apartment ,700,Dombivali,9500,,2.0,No Deposit,Unfurnished,apartment,1,9500.0,13.571428571428571
7,1 BHK Apartment ,600,Bandra West,55000,,2.0,No Deposit,Furnished,apartment,1,55000.0,91.66666666666667
8,1 BHK Apartment ,600,Andheri East,50000,,2.0,No Deposit,Furnished,apartment,1,50000.0,83.33333333333333
9,2 BHK Apartment ,1045,Bhayandar East,25000,,1.0,No Deposit,Semi-Furnished,apartment,2,12500.0,23.923444976076556
10,4 BHK Apartment ,1900,Goregaon West,175000,,4.0,No Deposit,Furnished,apartment,4,43750.0,92.10526315789474
11,1 BHK Apartment ,750,Colaba,100000,,2.0,No Deposit,Furnished,apartment,1,100000.0,133.33333333333334
12,2 BHK Apartment ,1150,Kalamboli,20000,,2.0,No Deposit,Unfurnished,apartment,2,10000.0,17.391304347826086
13,3 BHK Apartment ,1400,Ulwe,35000,,3.0,No Deposit,Semi-Furnished,apartment,3,11666.666666666666,25.0
14,2 BHK Apartment ,1246,Panvel,12000,,3.0,No Deposit,Semi-Furnished,apartment,2,6000.0,9.630818619582664
15,1 BHK Apartment ,650,Palghar,4500,,2.0,No Deposit,Semi-Furnished,apartment,1,4500.0,6.923076923076923
16,2 BHK Apartment ,1000,Nerul,28000,,2.0,No Deposit,Unfurnished,apartment,2,14000.0,28.0
17,3 BHK Apartment ,1300,Kandivali East,77000,,2.0,No Deposit,Furnished,apartment,3,25666.666666666668,59.23076923076923
18,3 BHK Apartment ,1050,Sion,175000,,3.0,No Deposit,Furnished,apartment,3,58333.333333333336,166.66666666666666
19,2 BHK Apartment ,750,Andheri West,55000,,2.0,No Deposit,Unfurnished,apartment,2,27500.0,73.33333333333333
20,4 BHK Apartment ,1900,Juhu,360000,,4.0,No Deposit,Semi-Furnished,apartment,4,90000.0,189.47368421052633
21,2 BHK Apartment ,1360,Vasai,21500,,2.0,No Deposit,Semi-Furnished,apartment,2,10750.0,15.808823529411764
22,1 BHK Apartment ,710,Thakurli,13000,,1.0,No Deposit,Semi-Furnished,apartment,1,13000.0,18.309859154929576
23,2 BHK Apartment ,950,Powai,60000,,2.0,No Deposit,Furnished,apartment,2,30000.0,63.1578947368421
24,3 BHK Apartment ,1050,Andheri West,90000,,3.0,No Deposit,Semi-Furnished,apartment,3,30000.0,85.71428571428571
25,3 BHK Apartment ,2000,Jogeshwari East,145000,,3.0,No Deposit,Semi-Furnished,apartment,3,48333.333333333336,72.5
26,1 BHK Independent Floor ,500,Mira Road East,7500,,1.0,No Deposit,Unfurnished,apartment,1,7500.0,15.0
27,1 BHK Apartment ,700,Thane West,18000,,2.0,No Deposit,Semi-Furnished,apartment,1,18000.0,25.714285714285715
28,3 BHK Apartment ,2175,Parel,230000,,3.0,No Deposit,Semi-Furnished,apartment,3,76666.66666666667,105.74712643678161
29,3 BHK Villa ,2800,Powai,145000,,2.0,No Deposit,Unfurnished,villa,3,48333.333333333336,51.785714285714285
30,2 BHK Apartment ,650,Prabhadevi,90000,,2.0,No Deposit,Semi-Furnished,apartment,2,45000.0,138.46153846153845
31,2 BHK Apartment ,750,Ghatkopar East,50000,,3.0,No Deposit,Semi-Furnished,apartment,2,25000.0,66.66666666666667
32,1 BHK Apartment ,670,Kalyan West,13000,,2.0,No Deposit,Semi-Furnished,apartment,1,13000.0,19.402985074626866
33,1 BHK Apartment ,275,Dadar East,18500,,1.0,No Deposit,Unfurnished,apartment,1,18500.0,67.27272727272727
34,2 BHK Apartment ,1075,Chembur,68000,,2.0,No Deposit,Unfurnished,apartment,2,34000.0,63.25581395348837
35,3 BHK Apartment ,1000,vile parle west,125000,,2.0,No Deposit,Furnished,apartment,3,41666.666666666664,125.0
36,1 BHK Apartment ,750,Bhandup West,24000,,2.0,No Deposit,Unfurnished,apartment,1,24000.0,32.0
37,3 BHK Apartment ,1005,Borivali East,55000,,3.0,No Deposit,Semi-Furnished,apartment,3,18333.333333333332,54.72636815920398
38,1 RK Studio Apartment ,380,Kandivali East,20000,,1.0,No Deposit,Semi-Furnished,studio,1,20000.0,52.63157894736842
39,2 BHK Apartment ,850,Bandra West,65000,,2.0,No Deposit,Unfurnished,apartment,2,32500.0,76.47058823529412
40,2 BHK Apartment ,900,Andheri East,50000,,2.0,No Deposit,Furnished,apartment,2,25000.0,55.55555555555556
41,2 BHK Apartment ,960,Badlapur East,9000,,2.0,No Deposit,Semi-Furnished,apartment,2,4500.0,9.375
42,1 BHK Apartment ,596,Borivali East,26500,,2.0,No Deposit,Unfurnished,apartment,1,26500.0,44.46308724832215
43,4 BHK Apartment ,3600,Nerul,175000,,2.0,No Deposit,Semi-Furnished,apartment,4,43750.0,48.611111111111114
44,3 BHK Apartment ,2200,Mahalaxmi,280000,,2.0,No Deposit,Semi-Furnished,apartment,3,93333.33333333333,127.27272727272727
45,2 BHK Apartment ,1075,Kanjurmarg,85000,,2.0,No Deposit,Furnished,apartment,2,42500.0,79.06976744186046
46,3 BHK Apartment ,1700,Seawoods,88000,,3.0,No Deposit,Semi-Furnished,apartment,3,29333.333333333332,51.76470588235294
47,1 BHK Apartment ,650,Andheri West,52000,,1.0,No Deposit,Furnished,apartment,1,52000.0,80.0
48,1 BHK Apartment ,550,Dombivali East,12000,,1.0,No Deposit,Unfurnished,apartment,1,12000.0,21.818181818181817
49,4 BHK Apartment ,2100,Thane West,135000,,3.0,No Deposit,Unfurnished,apartment,4,33750.0,64.28571428571429
50,1 BHK Apartment ,715,Titwala,8500,,1.0,No Deposit,Unfurnished,apartment,1,8500.0,11.888111888111888
51,3 BHK Apartment ,1568,Chembur,75000,,2.0,No Deposit,Unfurnished,apartment,3,25000.0,47.83163265306123
52,1 BHK Apartment ,545,Vasai,9000,,1.0,No Deposit,Semi-Furnished,apartment,1,9000.0,16.513761467889907
53,1 BHK Apartment ,685,Karanjade,7500,,2.0,No Deposit,Unfurnished,apartment,1,7500.0,10.94890510948905
54,2 BHK Apartment ,650,Thane West,33000,,2.0,No Deposit,Semi-Furnished,apartment,2,16500.0,50.76923076923077
55,2 BHK Apartment ,1208,Ulwe,16000,,2.0,No Deposit,Semi-Furnished,apartment,2,8000.0,13.245033112582782
56,1 BHK Apartment ,550,Girgaon,60000,,2.0,No Deposit,Semi-Furnished,apartment,1,60000.0,109.0909090909091
57,1 RK Studio Apartment ,350,Andheri East,27000,,1.0,No Deposit,Semi-Furnished,studio,1,27000.0,77.14285714285714
58,2 BHK Apartment ,1000,Thane West,47000,,2.0,No Deposit,Semi-Furnished,apartment,2,23500.0,47.0
59,2 BHK Apartment ,875,Andheri East,64800,,2.0,No Deposit,Semi-Furnished,apartment,2,32400.0,74.05714285714286
60,3 BHK Apartment ,1100,Thane West,40000,,3.0,No Deposit,Semi-Furnished,apartment,3,13333.333333333334,36.36363636363637
61,2 BHK Apartment ,900,Dombivali,15000,,2.0,No Deposit,Semi-Furnished,apartment,2,7500.0,16.666666666666668
62,1 BHK Apartment ,550,Malabar Hill,85000,,1.0,No Deposit,Furnished,apartment,1,85000.0,154.54545454545453
63,1 BHK Apartment ,700,Thane West,21500,,2.0,No Deposit,Furnished,apartment,1,21500.0,30.714285714285715
64,2 BHK Apartment ,810,Bandra West,110000,,2.0,No Deposit,Semi-Furnished,apartment,2,55000.0,135.80246913580248
65,2 BHK Apartment ,1000,Chembur,75000,,1.0,No Deposit,Unfurnished,apartment,2,37500.0,75.0
66,2 BHK Apartment ,500,Panvel,15000,,1.0,No Deposit,Unfurnished,apartment,2,7500.0,30.0
67,4 BHK Apartment ,3400,Dadar West,300000,,5.0,No Deposit,Semi-Furnished,apartment,4,75000.0,88.23529411764706
68,2 BHK Apartment ,1250,Andheri East,78000,,2.0,No Deposit,Unfurnished,apartment,2,39000.0,62.4
69,2 BHK Apartment ,800,Goregaon East,24000,,2.0,No Deposit,Unfurnished,apartment,2,12000.0,30.0
70,2 BHK Apartment ,900,Mahim,80000,,2.0,No Deposit,Furnished,apartment,2,40000.0,88.88888888888889
71,2 BHK Apartment ,1200,Andheri West,140000,,2.0,No Deposit,Furnished,apartment,2,70000.0,116.66666666666667
72,1 BHK Apartment ,550,Sanpada,25000,,1.0,No Deposit,Unfurnished,apartment,1,25000.0,45.45454545454545
73,2 BHK Apartment ,1100,Andheri West,60000,,2.0,No Deposit,Unfurnished,apartment,2,30000.0,54.54545454545455
74,3 BHK Apartment ,1459,Goregaon East,95000,,3.0,No Deposit,Semi-Furnished,apartment,3,31666.666666666668,65.11309115832762
75,3 BHK Apartment ,1350,Mulund West,75000,,3.0,No Deposit,Semi-Furnished,apartment,3,25000.0,55.55555555555556
76,2 BHK Apartment ,744,Thane West,37000,,1.0,No Deposit,Furnished,apartment,2,18500.0,49.73118279569893
77,1 BHK Apartment ,550,Powai,70000,,2.0,No Deposit,Furnished,apartment,1,70000.0,127.27272727272727
78,1 RK Studio Apartment ,400,Tardeo,32000,,1.0,No Deposit,Semi-Furnished,studio,1,32000.0,80.0
79,3 BHK Apartment ,1830,Kandivali East,80000,,3.0,No Deposit,Semi-Furnished,apartment,3,26666.666666666668,43.71584699453552
80,1 BHK Apartment ,645,Dombivali,9500,,1.0,No Deposit,Unfurnished,apartment,1,9500.0,14.728682170542635
81,2 BHK Apartment ,800,Malad East,56000,,2.0,No Deposit,Semi-Furnished,apartment,2,28000.0,70.0
82,1 BHK Independent Floor ,1500,Mulund West,15000,,1.0,No Deposit,Furnished,apartment,1,15000.0,10.0
83,3 BHK Apartment ,1800,Parel,155000,,2.0,No Deposit,Semi-Furnished,apartment,3,51666.666666666664,86.11111111111111
84,2 BHK Apartment ,825,Thane West,25000,,2.0,No Deposit,Semi-Furnished,apartment,2,12500.0,30.303030303030305
85,1 BHK Apartment ,580,Borivali West,35000,,1.0,No Deposit,Semi-Furnished,apartment,1,35000.0,60.3448275862069
86,1 BHK Apartment ,450,Kandivali East,28000,,2.0,No Deposit,Furnished,apartment,1,28000.0,62.22222222222222
87,1 BHK Apartment ,600,Malad West,26900,,2.0,No Deposit,Unfurnished,apartment,1,26900.0,44.833333333333336
88,2 BHK Apartment ,1500,Kharghar,39000,,2.0,No Deposit,Furnished,apartment,2,19500.0,26.0
89,2 BHK Apartment ,1100,Jogeshwari West,50000,,2.0,No Deposit,Unfurnished,apartment,2,25000.0,45.45454545454545
90,2 BHK Apartment ,1100,Goregaon West,75000,,2.0,No Deposit,Unfurnished,apartment,2,37500.0,68.18181818181819
91,1 BHK Apartment ,685,Dombivali,8500,,1.0,No Deposit,Semi-Furnished,apartment,1,8500.0,12.408759124087592
92,1 BHK Apartment ,615,Chembur,39000,,1.0,No Deposit,Unfurnished,apartment,1,39000.0,63.41463414634146
93,1 BHK Apartment ,650,Kamothe,15000,,1.0,No Deposit,Unfurnished,apartment,1,15000.0,23.076923076923077
94,3 BHK Apartment ,1800,Andheri East,130000,,3.0,No Deposit,Semi-Furnished,apartment,3,43333.333333333336,72.22222222222223
95,2 BHK Apartment ,980,Thane West,26500,,2.0,No Deposit,Unfurnished,apartment,2,13250.0,27.040816326530614
96,4 BHK Apartment ,4111,Bandra East,1000000,,4.0,No Deposit,Furnished,apartment,4,250000.0,243.24981756263682
97,2 BHK Apartment ,1000,Kharghar,38000,,2.0,No Deposit,Furnished,apartment,2,19000.0,38.0
98,1 BHK Apartment ,650,Thane West,26000,,1.0,No Deposit,Furnished,apartment,1,26000.0,40.0
99,1 RK Studio Apartment ,450,Badlapur East,3000,,1.0,No Deposit,Unfurnished,studio,1,3000.0,6.666666666666667
100,1 RK Studio Apartment ,450,Badlapur East,3000,,1.0,No Deposit,Unfurnished,studio,1,3000.0,6.666666666666667
101,1 RK Studio Apartment ,450,Badlapur East,3000,,1.0,No Deposit,Unfurnished,studio,1,3000.0,6.666666666666667
102,1 RK Studio Apartment ,450,Badlapur East,3000,,1.0,No Deposit,Unfurnished,studio,1,3000.0,6.666666666666667
103,1 RK Studio Apartment ,450,Badlapur East,3000,,1.0,No Deposit,Unfurnished,studio,1,3000.0,6.666666666666667
104,1 RK Studio Apartment ,450,Badlapur East,3000,,1.0,No Deposit,Unfurnished,studio,1,3000.0,6.666666666666667
105,1 RK Studio Apartment ,450,Badlapur East,3000,,1.0,No Deposit,Unfurnished,studio,1,3000.0,6.666666666666667
106,1 BHK Apartment ,600,Bandra West,55000,,2.0,No Deposit,Furnished,apartment,1,55000.0,91.66666666666667
107,1 BHK Apartment ,600,Bandra West,55000,,2.0,No Deposit,Furnished,apartment,1,55000.0,91.66666666666667
108,1 BHK Apartment ,510,Kharghar,9000,,1.0,No Deposit,Unfurnished,apartment,1,9000.0,17.647058823529413
109,1 BHK Apartment ,600,Andheri East,50000,,2.0,No Deposit,Furnished,apartment,1,50000.0,83.33333333333333
110,2 BHK Apartment ,1100,Kalamboli,24000,,2.0,No Deposit,Furnished,apartment,2,12000.0,21.818181818181817
111,2 BHK Apartment ,1050,Kalamboli,20000,,2.0,No Deposit,Unfurnished,apartment,2,10000.0,19.047619047619047
112,2 BHK Apartment ,1100,Kalamboli,18000,,2.0,No Deposit,Unfurnished,apartment,2,9000.0,16.363636363636363
113,4 BHK Apartment ,2000,Kalamboli,70000,,4.0,No Deposit,Furnished,apartment,4,17500.0,35.0
114,3 BHK Apartment ,1750,Kalamboli,32000,,2.0,No Deposit,Semi-Furnished,apartment,3,10666.666666666666,18.285714285714285
115,2 BHK Apartment ,825,Tardeo,75000,,2.0,No Deposit,Unfurnished,apartment,2,37500.0,90.9090909090909
